date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:41:42	1300/1300	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-514%22	http://ace.jeka.by/assets/js/jquery.ui.touch-punch.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery.ui.touch-punch.min.js	(from http://ace.jeka.by/)
02:41:43	4058/4058	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-fda%22	http://ace.jeka.by/assets/js/jquery.easypiechart.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery.easypiechart.min.js	(from http://ace.jeka.by/)
02:41:43	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-9004%22	http://ace.jeka.by/assets/js/bootstrap.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/bootstrap.min.js	(from http://ace.jeka.by/)
02:41:43	84380/84380	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-1499c%22	http://ace.jeka.by/assets/js/jquery-2.1.4.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery-2.1.4.min.js	(from http://ace.jeka.by/)
02:41:45	10452/10452	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-28d4%22	http://ace.jeka.by/assets/js/jquery.flot.pie.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery.flot.pie.min.js	(from http://ace.jeka.by/)
02:41:45	101267/101267	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-18b93%22	http://ace.jeka.by/assets/js/jquery-ui.custom.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery-ui.custom.min.js	(from http://ace.jeka.by/)
02:41:45	2401/2401	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-961%22	http://ace.jeka.by/assets/js/jquery.flot.resize.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery.flot.resize.min.js	(from http://ace.jeka.by/)
02:41:45	36827/36827	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-8fdb%22	http://ace.jeka.by/assets/js/jquery.flot.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery.flot.min.js	(from http://ace.jeka.by/)
02:41:46	55164/55164	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-d77c%22	http://ace.jeka.by/assets/js/jquery.sparkline.index.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery.sparkline.index.min.js	(from http://ace.jeka.by/)
02:41:46	41077/41077	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-a075%22	http://ace.jeka.by/assets/js/ace-elements.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/ace-elements.min.js	(from http://ace.jeka.by/)
02:41:48	55785/55785	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-d9e9%22	http://ace.jeka.by/assets/js/ace.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/ace.min.js	(from http://ace.jeka.by/)
02:41:49	18028/18028	---M--	200	added ('OK')	application/octet-stream	etag:%22579f7410-466c%22	http://ace.jeka.by/assets/fonts/glyphicons-halflings-regular.woff2	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/fonts/glyphicons-halflings-regular.woff2	(from http://ace.jeka.by/assets/css/bootstrap.min.css)
02:41:50	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22579f7410-4e9f%22	http://ace.jeka.by/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/fonts/glyphicons-halflings-regular.eot	(from http://ace.jeka.by/assets/css/bootstrap.min.css)
02:41:50	30071/30071	---MC-	200	added ('OK')	text/javascript	date:Tue,%2006%20Jun%202017%2000:25:39%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/user/Desktop/templateAdmin/www.google-analytics.com/analytics.js	(from http://ace.jeka.by/)
